"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","PA","playerid"
"Matt Carson","Indians",".667","5.00","40.0 %","50.0 %","10.0 %","0.0 %","100.0 %","13","4748"
"Eric Fryer","Twins",".444","4.00","50.0 %","40.0 %","10.0 %","0.0 %","100.0 %","16","8145"
"Miguel Cabrera","Tigers",".356","1.03","24.0 %","38.7 %","37.4 %","5.8 %","25.4 %","652","1744"
"Hanley Ramirez","Dodgers",".363","1.08","22.0 %","40.6 %","37.4 %","14.7 %","21.1 %","336","8001"
"Joey Butler","Rangers",".667","2.00","66.7 %","33.3 %","0.0 %","0.0 %","0.0 %","15","7799"
"Mike Trout","Angels",".376","1.16","23.0 %","41.4 %","35.6 %","3.7 %","16.5 %","716","10155"
"Melky Mesa","Yankees",".455","0.80","18.2 %","36.4 %","45.5 %","0.0 %","0.0 %","14","447"
"Chris Davis","Orioles",".336","0.71","21.9 %","32.4 %","45.7 %","3.9 %","29.6 %","673","9272"
"Josmil Pinto","Twins",".440","1.28","24.1 %","42.6 %","33.3 %","11.1 %","22.2 %","83","6806"
"Carlos Gonzalez","Rockies",".368","0.94","21.6 %","37.9 %","40.5 %","11.0 %","23.9 %","436","7287"
"Khris Davis","Brewers",".293","1.16","20.4 %","42.7 %","36.9 %","5.3 %","28.9 %","153","9112"
"Jose Ramirez","Indians",".400","1.25","10.0 %","50.0 %","40.0 %","0.0 %","0.0 %","14","13510"
"Paul Goldschmidt","Diamondbacks",".343","1.28","21.0 %","44.4 %","34.6 %","3.8 %","22.5 %","710","9218"
"Jayson Werth","Nationals",".358","0.95","26.0 %","36.1 %","38.0 %","10.1 %","18.0 %","532","1327"
"Troy Tulowitzki","Rockies",".334","1.10","20.8 %","41.5 %","37.7 %","10.9 %","18.1 %","512","3531"
"Joey Votto","Reds",".360","1.50","27.2 %","43.7 %","29.2 %","0.8 %","18.3 %","726","4314"
"David Ortiz","Red Sox",".321","1.00","22.6 %","38.7 %","38.7 %","7.1 %","17.9 %","600","745"
"Billy Hamilton","Reds",".467","3.50","35.7 %","50.0 %","14.3 %","0.0 %","0.0 %","22","10199"
"Yasiel Puig","Dodgers",".383","1.63","19.1 %","50.2 %","30.7 %","10.3 %","21.8 %","432","14225"
"Michael Cuddyer","Rockies",".382","1.65","20.2 %","49.7 %","30.1 %","1.7 %","16.9 %","540","1534"
"Zach Lutz","Mets",".429","1.20","21.4 %","42.9 %","35.7 %","0.0 %","0.0 %","26","3735"
"Andrew McCutchen","Pirates",".353","1.17","24.5 %","40.7 %","34.8 %","8.9 %","12.4 %","674","9847"
"Shin-Soo Choo","Reds",".338","1.68","21.1 %","49.4 %","29.4 %","0.8 %","16.4 %","712","3174"
"David Wright","Mets",".340","0.97","22.9 %","38.0 %","39.1 %","8.0 %","13.0 %","492","3787"
"Jeff Baker","Rangers",".333","1.44","17.8 %","48.6 %","33.6 %","8.3 %","30.6 %","175","2073"
"Ryan Raburn","Indians",".311","1.18","17.5 %","44.6 %","37.9 %","10.4 %","23.9 %","277","2218"
"Edwin Encarnacion","Blue Jays",".247","0.81","21.6 %","35.1 %","43.3 %","9.3 %","17.6 %","621","2151"
"Freddie Freeman","Braves",".371","1.08","26.7 %","38.2 %","35.2 %","2.6 %","15.0 %","629","5361"
"Francisco Cervelli","Yankees",".275","0.72","27.9 %","30.2 %","41.9 %","5.6 %","16.7 %","61","5275"
"Josh Donaldson","Athletics",".333","1.23","20.6 %","43.8 %","35.6 %","11.8 %","14.2 %","668","5038"
"Robinson Cano","Yankees",".327","1.49","26.0 %","44.3 %","29.8 %","4.5 %","17.3 %","681","3269"
"Joe Mauer","Twins",".383","1.85","27.7 %","46.9 %","25.4 %","1.1 %","12.1 %","508","1857"
"Matt Holliday","Cardinals",".322","1.36","20.8 %","45.7 %","33.6 %","13.6 %","15.0 %","602","1873"
"Mike Carp","Red Sox",".385","1.21","24.3 %","41.4 %","34.2 %","3.8 %","17.3 %","243","7480"
