key,away,bp_away_0,bp_away_1,bp_away_10,bp_away_11,bp_away_12,bp_away_13,bp_away_14,bp_away_15,bp_away_16,bp_away_17,bp_away_18,bp_away_19,bp_away_2,bp_away_20,bp_away_21,bp_away_22,bp_away_23,bp_away_24,bp_away_25,bp_away_3,bp_away_4,bp_away_5,bp_away_6,bp_away_7,bp_away_8,bp_away_9,bp_home_0,bp_home_1,bp_home_10,bp_home_11,bp_home_12,bp_home_13,bp_home_14,bp_home_15,bp_home_16,bp_home_17,bp_home_18,bp_home_19,bp_home_2,bp_home_20,bp_home_21,bp_home_22,bp_home_23,bp_home_24,bp_home_25,bp_home_3,bp_home_4,bp_home_5,bp_home_6,bp_home_7,bp_home_8,bp_home_9,home
2017/04/02/nyamlb-tbamlb-1,New York Yankees,476454,622663,656547.0,592741.0,,,,,,,,,547973,,,,,,,461325,571951,282332,501381,547888,518927,476589.0,488984,541640,502042.0,543144.0,643493.0,517008.0,,,,,,,543606,,,,,,,542882,543135,474521,502171,471822,605483,458584,Tampa Bay Rays
2017/04/02/sfnmlb-arimlb-1,San Francisco Giants,502188,456501,621389.0,519326.0,453343.0,,,,,,,,519043,,,,,,,519166,518715,502004,519293,430912,518516,571882.0,592662,571578,543331.0,407845.0,,,,,,,,,592836,,,,,,,571946,517414,605151,425844,452666,407822,605177,Arizona Diamondbacks
2017/04/02/chnmlb-slnmlb-1,Chicago Cubs,453562,451584,467008.0,543557.0,,,,,,,,,543294,,,,,,,444468,474463,518748,407793,452657,605218,493157.0,543779,502190,462515.0,593372.0,493200.0,,,,,,,,435043,,,,,,,425794,446399,458681,592815,621199,608379,455009,St. Louis Cardinals
2017/04/03/miamlb-wasmlb-1,Miami Marlins,573185,543408,475479.0,547749.0,446899.0,,,,,,,,612672,,,,,,,570632,573109,430661,621295,543045,607457,450172.0,461829,518875,595014.0,,,,,,,,,,424144,,,,,,,606983,544836,543699,453286,430599,544931,519301,Washington Nationals
2017/04/03/atlmlb-nynmlb-1,Atlanta Braves,448802,592314,475054.0,447714.0,542432.0,,,,,,,,605338,,,,,,,518567,285079,112526,527055,462382,527054,571871.0,592665,518774,477569.0,607229.0,,,,,,,,,606160,,,,,,,460283,554430,594798,519294,572831,592789,570663,New York Mets
2017/04/03/pitmlb-bosmlb-1,Pittsburgh Pirates,592866,455374,553878.0,543339.0,,,,,,,,,592791,,,,,,,641771,453281,607192,467100,453265,543037,504379.0,664701,519242,,,,,,,,,,,523260,,,,,,,593958,453214,519144,598264,582494,592390,518886,Boston Red Sox
2017/04/03/colmlb-milmlb-1,Colorado Rockies,459429,608566,608032.0,445197.0,493603.0,518813.0,,,,,,,542881,,,,,,,622608,518452,607536,543022,543475,592351,623184.0,543380,519076,608349.0,606930.0,453172.0,,,,,,,,605200,,,,,,,491703,503449,502624,448855,543548,448614,501697,Milwaukee Brewers
2017/04/03/tormlb-balmlb-1,Toronto Blue Jays,573186,457918,571901.0,276351.0,,,,,,,,,434538,,,,,,,572193,592717,608678,462136,607352,434442,501925.0,643354,573064,592869.0,,,,,,,,,,605164,,,,,,,503285,543118,434622,592332,571710,542960,502154,Baltimore Orioles
2017/04/04/detmlb-chamlb-1,Detroit Tigers,571510,519455,572888.0,408061.0,,,,,,,,,543935,,,,,,,596057,594986,605242,434671,434378,458677,541652.0,502706,456068,474029.0,573589.0,,,,,,,,,592229,,,,,,,502085,448306,518858,543359,461872,500779,502593,Chicago White Sox
2017/04/03/kcamlb-minmlb-1,Kansas City Royals,450306,543169,493247.0,475243.0,501985.0,,,,,,,,465657,,,,,,,501992,516969,453178,432934,434628,518633,621381.0,444520,595234,461833.0,608648.0,429722.0,279571.0,445213.0,,,,,,573124,,,,,,,450282,606167,502043,543859,543507,519151,502327,Minnesota Twins
