key,10_id,10_name,10_pos,1_id,1_name,1_pos,2_id,2_name,2_pos,3_id,3_name,3_pos,4_id,4_name,4_pos,5_id,5_name,5_pos,6_id,6_name,6_pos,7_id,7_name,7_pos,8_id,8_name,8_pos,9_id,9_name,9_pos,date,lineup_status,name,temp
2018/08/22/balmlb-tormlb-1,39957,David Hess,SP,79966,Cedric Mullins,CF,7494,Jonathan Villar,2B,31152,Trey Mancini,LF,4299,Adam Jones,CF,1341,Tim Beckham,SS,3166,Craig Gentry,LF,22669,Renato Nunez,3B,39990,John Andreoli,RF,39807,Austin Wynns,C,2018-08-22,Confirmed,Baltimore Orioles,71
2018/08/22/balmlb-tormlb-1,39863,Thomas Pannone,SP,39763,Billy McKinney,RF,8090,Devon Travis,2B,6873,Justin Smoak,1B,5366,Kendrys Morales,DH,3390,Randal Grichuk,RF,4934,Russell Martin,C,28083,Teoscar Hernandez,RF,39922,Danny Jansen,C,31639,Richard Urena,SS,2018-08-22,Confirmed,Toronto Blue Jays,71
2018/08/22/cinmlb-milmlb-1,8176,Robert Stephenson,RP,3502,Billy Hamilton,CF,8075,Jose Peraza,2B,3165,Scooter Gennett,2B,8110,Mason Williams,LF,8136,Phillip Ervin,RF,1273,Tucker Barnhart,C,2005,Curt Casali,C,3747,Dilson Herrera,2B,8176,Robert Stephenson,RP,2018-08-22,Confirmed,Cincinnati Reds,75
2018/08/22/cinmlb-milmlb-1,39867,Freddy Peralta,SP,7984,Christian Yelich,LF,1889,Lorenzo Cain,CF,5422,Mike Moustakas,3B,965,Jesus Aguilar,1B,8107,Travis Shaw,3B,1611,Ryan Braun,1B,6608,Jonathan Schoop,2B,5936,Manny Pina,C,39867,Freddy Peralta,SP,2018-08-22,Confirmed,Milwaukee Brewers,75
2018/08/22/minmlb-chamlb-1,3192,Kyle Gibson,SP,2974,Logan Forsythe,2B,8081,Eddie Rosario,LF,5957,Jorge Polanco,SS,8083,Miguel Sano,3B,8100,Tyler Austin,1B,31682,Mitch Garver,C,22267,Max Kepler,RF,3419,Robbie Grossman,DH,22563,Jake Cave,LF,2018-08-22,Confirmed,Minnesota Twins,75
2018/08/22/minmlb-chamlb-1,8079,Carlos Rodon,SP,6514,Yolmer Sanchez,2B,29735,Yoan Moncada,2B,3113,Avisail Garcia,RF,31675,Daniel Palka,RF,8098,Tim Anderson,SS,33837,Nick Delmonico,1B,2450,Matt Davidson,DH,27001,Omar Narvaez,C,31694,Adam Engel,CF,2018-08-22,Confirmed,Chicago White Sox,75
2018/08/22/texmlb-oakmlb-1,5277,Mike Minor,SP,2098,Shin-Soo Choo,LF,5609,Rougned Odor,2B,1081,Elvis Andrus,SS,22543,Nomar Mazara,RF,1378,Adrian Beltre,3B,6036,Jurickson Profar,SS,8048,Joey Gallo,3B,2092,Robinson Chirinos,C,8234,Ronald Guzman,1B,2018-08-22,Confirmed,Texas Rangers,68
2018/08/22/texmlb-oakmlb-1,4048,Edwin Jackson,P,6654,Marcus Semien,SS,39907,Ramon Laureano,CF,32445,Matt Chapman,3B,2475,Khris Davis,LF,8231,Stephen Piscotty,RF,29774,Matt Olson,1B,29177,Chad Pinder,2B,8042,Mark Canha,LF,4790,Jonathan Lucroy,C,2018-08-22,Confirmed,Oakland Athletics,68
2018/08/22/houmlb-seamlb-1,5401,Charlie Morton,SP,27492,Alex Bregman,3B,1034,Jose Altuve,2B,8044,Carlos Correa,SS,22692,Tyler White,1B,3269,Marwin Gonzalez,SS,27256,Yulieski Gurriel,1B,6146,Josh Reddick,RF,4847,Martin Maldonado,C,24297,Tony Kemp,LF,2018-08-22,Confirmed,Houston Astros,83
2018/08/22/houmlb-seamlb-1,3270,Marco Gonzales,SP,29154,Mitch Haniger,RF,1927,Robinson Cano,2B,6649,Jean Segura,SS,2364,Nelson Cruz,DH,6922,Denard Span,CF,27226,Ryon Healy,1B,22624,Ben Gamel,LF,8033,Mike Zunino,C,3297,Dee Gordon,CF,2018-08-22,Confirmed,Seattle Mariners,83
