Season,Team,1BL,1BR,2BL,2BR,3BL,3BR,HRL,HRR
2017,Los Angeles Angels,100,100,97,95,92,86,95,99
2017,Baltimore Orioles,104,101,96,97,84,92,111,105
2017,Boston Red Sox,103,104,124,106,121,88,90,101
2017,Chicago White Sox,96,101,93,97,102,88,108,105
2017,Cleveland Indians,103,98,107,103,83,83,105,99
2017,Detroit Tigers,100,101,95,100,119,126,102,100
2017,Kansas City Royals,100,101,103,107,119,111,93,92
2017,Minnesota Twins,103,103,100,106,108,102,97,104
2017,New York Yankees,99,100,97,93,83,83,114,112
2017,Oakland Athletics,97,101,101,103,120,108,91,97
2017,Seattle Mariners,98,98,96,96,82,90,100,98
2017,Tampa Bay Rays,99,98,96,93,98,102,99,94
2017,Texas Rangers,104,103,97,101,112,106,102,100
2017,Toronto Blue Jays,98,96,109,107,97,96,104,102
2017,Arizona Diamondbacks,101,99,107,106,118,136,104,104
2017,AtlantaBraves,102,100,100,103,94,90,104,95
2017,Chicago Cubs,102,98,102,98,96,111,94,105
2017,Cincinnati Reds,98,99,95,105,96,88,110,106
2017,Colorado Rockies,108,111,108,112,140,128,108,113
2017,Miami Marlins,100,97,93,100,106,108,89,90
2017,Houston Astros,98,98,95,97,107,110,103,101
2017,Los Angeles Dodgers,96,96,98,99,78,75,105,96
2017,Milwaukee Brewers,100,97,100,100,94,96,111,105
2017,Washington Nationals,104,105,103,102,85,79,95,100
2017,New York Mets,94,96,97,95,89,82,99,98
2017,Philadelphia Phillies,97,99,98,98,96,95,108,116
2017,Pittsburgh Pirates,102,103,98,100,85,104,98,89
2017,St. Louis Cardinals,100,101,100,99,96,96,97,94
2017,San Diego Padres,98,98,100,93,86,109,96,95
2017,San Francisco Giants,102,99,100,97,130,111,82,88
