steamerid,mlbamid,firstname,lastname,IP,G,GS,start_percent,start_IP,relief_IP,SV,League,DBTeamId,FBV,reliability,Throws,age,Krate,BBrate,HBPrate,GBrate,FBrate,LDrate,SIERA,BABIP,TBF,batters_per_IP,ERA,RA,K,BB,IBB,1b,2b,3b,HR,HBP,SH,SF,GB,FB,LD,K9,BB9,HBP9,HR9,H,ER,R,WHIP,W,L,QS,HLD,HR/FB,FIP,LOB%,ERA-,CG,ShO
2036,477132,Clayton,Kershaw,217.113752,32,32,1,217.113752,0,0,NL,LAN,93.2,0.79285,L,28,0.3102,0.0508,0.005966,0.49897445,0.30198463,0.19904092,2.42,0.290596,854.779,3.937009942,2.09203791,2.39138606,265.1523,43.4228,2.5284,112.15434,31.75933,2.38809,15.2758,5.0996,8.9752,6.69975,265.5322,160.7029,105.9208,10.99133831,1.800002056,0.211393335,0.633225156,161.5775,50.4678,57.6892,0.944207055,16.5928,7.4596,27.9392,0,0.09505594,2.2766,0.80762872,55.40319917,3.3971,1.7071
10233,547973,Aroldis,Chapman,55,55,0,0,0,55,17.9,AL,NYA,98.7,0.53226,L,28,0.3762,0.1069,0.010175,0.39122458,0.40623289,0.20254252,2.37,0.278938,222.043,4.037145455,2.305505455,2.552432727,83.5325,23.7364,1.5849,21.76807,6.42527,0.58213,4.3978,2.2593,1.199,1.87293,43.5244,45.1941,22.5332,13.66895455,3.884138182,0.369703636,0.719632786,33.1732,14.0892,15.5982,1.034720509,3.2358,2.0633,0,13.5363,0.09730819,2.5539,0.82190204,61.05739756,0,0
6785,453192,Andrew,Miller,65,65,0,0,0,65,16.9,AL,NYA,93.9,0.50181,L,31,0.3515,0.0848,0.01108,0.46826843,0.32918908,0.20254249,2.29,0.29008,260.208,4.0032,2.396921538,2.671823077,91.4632,22.0657,2.1074,30.09219,7.93517,0.73337,4.891,2.8831,1.4051,1.93959,66.639,46.8467,28.8237,12.66413538,3.055250769,0.399198462,0.67720882,43.6517,17.3111,19.2965,1.011036813,3.759,2.5076,0,9.0961,0.10440335,2.4494,0.79840438,63.4779771,0,0
3096,445276,Kenley,Jansen,65,65,0,0,0,65,35,NL,LAN,92.6,0.52152,R,28,0.3224,0.066,0.007839,0.39797976,0.40297941,0.19904083,2.4,0.283822,259.688,3.9952,2.421415385,2.671532308,83.7235,17.1394,2.038,30.57745,9.26648,0.80756,5.6528,2.0357,2.7267,2.59065,61.3171,62.0874,30.6664,11.59248462,2.373147692,0.281866154,0.782698299,46.3043,17.488,19.2944,0.976057102,3.7409,2.5268,0,7.1705,0.09104619,2.5735,0.80230419,64.12681954,0,0
3240,502154,Zach,Britton,65,65,0,0,0,65,34.5,AL,BAL,96.1,0.58901,L,28,0.2671,0.0773,0.007603,0.60448319,0.18915111,0.2063657,2.59,0.30559,264.874,4.074984615,2.540907692,2.90286,70.7478,20.4747,3.5647,40.39373,8.93818,0.78199,3.5375,2.0138,1.4303,1.32993,102.805,32.1691,35.0968,9.795849231,2.834958462,0.278833846,0.489811624,53.6514,18.351,20.9651,1.140402025,3.7094,2.5603,0,1.8789,0.10996666,2.7026,0.77506466,67.29158163,0,0
12803,605169,Carter,Capps,1,1,0,0,0,1,0,NL,MIA,98,0.45118,R,25,0.3314,0.09,0.00999,0.43966731,0.35473508,0.20559761,2.56,0.292652,4.068,4.068,2.5641,2.8413,1.3483,0.3662,0.0379,0.47461,0.13445,0.01708,0.0637,0.0406,0.0427,0.03367,0.9991,0.8061,0.4672,12.1347,3.2958,0.3654,0.573446269,0.6899,0.2849,0.3157,1.056054191,0.055,0.0416,0,0,0.07904262,2.4861,0.775178,67.9139407,0,0
6216,476454,Dellin,Betances,65,65,0,0,0,65,3.1,AL,NYA,96.8,0.5969,R,28,0.3485,0.098,0.009704,0.46080358,0.3368564,0.20234002,2.49,0.289483,262.839,4.043676923,2.564390769,2.845453846,91.5993,25.7582,2.2841,29.75821,7.96762,0.76696,4.5907,2.5506,1.4193,1.97497,65.2367,47.6893,28.6456,12.68298,3.56652,0.35316,0.635631668,43.0835,18.5206,20.5505,1.059102443,3.6682,2.604,0,13.5292,0.09626212,2.5403,0.78259849,67.9139407,0,0
7836,519326,Hunter,Strickland,55,55,0,0,0,55,4.7,NL,SFN,96.7,0.44781,R,27,0.273,0.0666,0.008356,0.44127152,0.35822007,0.20050841,2.87,0.288411,223.214,4.058436364,2.579596364,2.873290909,60.9375,14.8661,2.1071,29.596,8.26711,1.03517,4.0581,1.8652,2.3438,2.13638,63.152,51.2662,28.6955,9.971590909,2.432634545,0.305214545,0.664059336,42.9564,15.7642,17.559,1.051318671,3.0076,2.3054,0,15.8322,0.07915821,2.7899,0.78007016,68.31648785,0,0
6655,518886,Craig,Kimbrel,65,65,0,0,0,65,34.6,AL,BOS,97.2,0.52084,R,28,0.3178,0.0901,0.008162,0.4259027,0.35791841,0.21617888,2.7,0.293586,264.982,4.076646154,2.702423077,2.982904615,84.2112,23.8748,2.0557,31.16454,10.09018,1.00162,4.8281,2.1628,1.4309,2.27116,65.3066,54.8821,33.1482,11.66001231,3.305741538,0.299464615,0.668501786,47.0844,19.5175,21.5432,1.091680186,3.7545,2.5124,0,4.4752,0.08797164,2.7102,0.77722575,71.56864505,0,0
3137,453286,Max,Scherzer,211.5076923,32,32,1,211.5076923,0,0,NL,WAS,93.9,0.79838,R,31,0.2956,0.0525,0.006878,0.38201463,0.41001579,0.20796958,2.73,0.293049,850.795,4.022525095,2.71986278,2.979895876,251.4951,44.6667,2.4911,108.48336,34.79392,3.3353,21.0971,5.8518,8.9333,9.22517,206.222,221.3378,112.2677,10.70152993,1.900641511,0.24900371,0.897716715,167.7097,63.9191,70.0301,1.004107206,14.9456,8.8229,24.8174,0,0.09531634,2.7691,0.78539581,72.03210393,1.8161,0.9126
