steamerid,mlbamid,firstname,lastname,IP,G,GS,start_percent,start_IP,relief_IP,SV,League,DBTeamId,FBV,reliability,Throws,age,Krate,BBrate,HBPrate,GBrate,FBrate,LDrate,SIERA,BABIP,TBF,batters_per_IP,ERA,RA,K,BB,IBB,1b,2b,3b,HR,HBP,SH,SF,GB,FB,LD,K9,BB9,HBP9,HR9,H,ER,R,WHIP,W,L,QS,HLD,holds_old,SV_old,HR/FB,FIP,LOB%,ERA-,CG,ShO
10019,543853,Taylor,Thompson,1,1,0,0,0,1,0,AL,CHA,89.7,0.33911,R,30,0.1931,0.1118,0.007936,0.43927052,0.35722059,0.20350889,4.35,0.299899,4.45,4.45,4.7151,5.0688,0.8594,0.4976,0.0409,0.6694,0.18822,0.01887,0.1355,0.0353,0.024,0.04476,1.332,1.0832,0.6171,7.7346,4.4784,0.3177,1.219685903,1.012,0.5239,0.5632,1.50960998,0.043,0.0539,0,0,0,0,0.12511139,4.7887,0.72441241,116.1586395,0,0
10021,501985,Mike,Minor,25,25,0,0,0,25,0,AL,KCA,91.7,0.62855,L,29,0.2236,0.0686,0.007085,0.36719396,0.42522452,0.20758153,3.53,0.289878,105.175,4.207,3.85506,4.141188,23.517,7.215,1.0892,15.04869,4.79308,0.57196,3.2756,0.7452,0.5679,1.28418,26.8385,31.08,15.1723,8.46612,2.5974,0.268272,1.179222367,23.6894,10.7085,11.5033,1.236174037,1.2251,1.201,0,0.7281,0.7281,0,0.1053931,3.9242,0.74440159,94.96409104,0,0
10029,572119,Patrick,Schuster,1,1,0,0,0,1,0,NL,PHI,87.4,0.47862,L,26,0.1985,0.1168,0.010714,0.44972189,0.35179504,0.19848306,4.34,0.295917,4.468,4.468,4.5018,4.8582,0.887,0.5219,0.0407,0.64944,0.18676,0.01762,0.1262,0.0479,0.0469,0.04346,1.3341,1.0436,0.5888,7.983,4.6971,0.4311,1.135845915,0.98,0.5002,0.5398,1.501930585,0.0434,0.0536,0,0,0,0,0.12093245,4.7231,0.73556087,110.8895625,0,0
10039,572102,Keyvius,Sampson,15,15,0,0,0,15,0,FA,FA,93.9,0.65726,R,26,0.2335,0.107,0.007905,0.40200038,0.39300035,0.20499927,3.85,0.291761,65.132,4.342133333,4.11036,4.42662,15.2084,6.9692,0.5756,8.87074,2.69275,0.28592,1.8265,0.5149,0.5178,0.68383,16.8527,16.4754,8.594,9.12504,4.18152,0.30894,1.095915734,13.6759,6.8506,7.3777,1.376342424,0.7195,0.736,0,0,0,0,0.11086385,4.199,0.74087033,101.2529895,0,0
10044,572208,Ashur,Tolliver,10,10,0,0,0,10,0,AL,HOU,93,0.44464,L,29,0.2195,0.1017,0.007401,0.4276784,0.37072176,0.20159984,3.92,0.294433,43.346,4.3346,4.12227,4.45347,9.5145,4.4083,0.3989,6.17314,1.81984,0.20709,1.2523,0.3208,0.2341,0.4427,12.3558,10.7103,5.8243,8.56305,3.96747,0.28872,1.127093363,9.4524,4.5803,4.9483,1.386069091,0.4967,0.4738,0,0.7909,0.7909,0,0.11692725,4.2909,0.74292055,101.5461266,0,0
10045,543125,Chris,Dwyer,1,1,0,0,0,1,0,AL,KCA,88.2,0.47176,L,29,0.1662,0.1132,0.008248,0.43378793,0.35882669,0.20738537,4.71,0.294517,4.468,4.468,4.5927,4.9563,0.7426,0.5058,0.0413,0.68079,0.19784,0.02363,0.1195,0.0369,0.0241,0.04685,1.3709,1.134,0.6554,6.6834,4.5522,0.3321,1.075086708,1.0217,0.5103,0.5507,1.527516685,0.0447,0.0523,0,0,0,0,0.10533869,4.8428,0.72554429,113.1238088,0,0
10054,502229,Alex,White,1,0.2199649123,0.166,0.9467456,0.946,0.054,0,NL,COL,90.3372781,0.45822,R,28,0.14580237,0.09968817,0.011496,0.48915093,0.28806153,0.22278754,4.7649704,0.3116567869,4.563,4.563,5.4045,5.8068,0.6653,0.4548,0.0294,0.76905,0.21491,0.0287,0.1408,0.0525,0.048,0.04003,1.6344,0.9625,0.7444,5.9877,4.0932,0.4725,1.267476977,1.1535,0.6005,0.6452,1.608293772,0.0497,0.0704,0.0546,0,0,0,0.14631769,5.169071,0.69388663,133.1453164,0.0015,0.0007
10058,554431,Tyler,Matzek,27.59163429,4.86,4.86,1,27.59163429,0,0,NL,COL,91.3,0.54932,L,26,0.1813,0.1344,0.009735,0.46066045,0.3167673,0.22257224,4.97,0.308399,127.444,4.618936257,5.244709266,5.6337511,23.1056,17.1285,0.4536,19.06312,5.71748,0.62792,3.5808,1.2407,1.3382,1.1173,39.0149,26.8281,18.8504,7.536719204,5.587073908,0.4046987534,1.168022145,28.9894,16.0789,17.2716,1.671444119,1.4416,1.9174,1.6826,0,0,0,0.13347382,5.1566,0.71051364,129.1946171,0.0645,0.0296
10061,548384,Brooks,Raley,1,1,0,0,0,1,0,NL,CHN,87.6,0.29144,L,29,0.1973,0.1035,0.01084,0.44902415,0.34700527,0.20397057,4.16,0.290585,4.392,4.392,4.2057,4.5576,0.8665,0.4545,0.0384,0.64383,0.17985,0.0196,0.1211,0.0476,0.0461,0.04301,1.3367,1.033,0.6072,7.7985,4.0905,0.4284,1.089765912,0.9644,0.4673,0.5064,1.418865959,0.049,0.048,0,0,0,0,0.11721694,4.4944,0.74025083,103.5931593,0,0
10065,518782,Johnny,Hellweg,1,0.2026491228,0.1696,0.9675159,0.967,0.033,0,NL,MIL,92.7227389,0.45665,R,28,0.14592369,0.13233503,0.015859,0.49206107,0.2980458,0.20989313,5.2947325,0.3087496464,4.71,4.71,5.7753,6.1875,0.6873,0.6233,0.0184,0.74821,0.21128,0.02402,0.1395,0.0747,0.0494,0.04062,1.6115,0.9761,0.6874,6.1857,5.6097,0.6723,1.255316954,1.123,0.6417,0.6875,1.746295915,0.0387,0.0816,0.0492,0,0,0,0.14289485,5.67967,0.69722514,142.2453919,0.0013,0.0006
10066,571871,Ian,Krol,55,55,0,0,0,55,0,NL,ATL,93.6,0.54882,L,26,0.2548,0.0928,0.008864,0.49176522,0.30185577,0.20637901,3.28,0.302663,233.347,4.242672727,3.359536364,3.696872727,59.4569,21.6546,2.3813,34.14918,8.9204,0.88929,4.9272,2.0684,2.4501,1.85931,72.6769,44.6106,30.5003,9.729310909,3.54348,0.3384654545,0.8062744576,48.8861,20.5305,22.592,1.28255803,2.7385,2.5994,0,13.6373,12.9773,1.1,0.11044982,3.4435,0.76116811,82.75579462,0,0
10075,571584,Caleb,Cotham,1,1,0,0,0,1,0,NL,CIN,92.2,0.46409,R,29,0.2102,0.0842,0.009458,0.45276069,0.34483341,0.20240589,3.75,0.294402,4.314,4.314,4.1859,4.5243,0.9068,0.3632,0.0407,0.64694,0.17972,0.0183,0.1331,0.0408,0.0453,0.04248,1.3399,1.0205,0.599,8.1612,3.2688,0.3672,1.198096095,0.9781,0.4651,0.5027,1.341278929,0.0448,0.0522,0,0,0,0,0.13044761,4.276,0.73544596,103.107882,0,0
