role,pn,split,Throws,steamerid,mlbamid,firstname,lastname,start_percent,percentL,TBF,SH,SF,HBP,BB,IBB,AB,SO,1b,2b,3B,HR,AVG,OBP,SLG,wOBA,BABIP,SH/PA,SF/PA,HBP/PA,BB/PA,IBB/PA,AB/PA,SO/PA,1B/PA,2B/PA,3B/PA,HR/PA
RP,0,vL,L,10343,571901,Aaron,Loup,0,0.4321194459,73.39608423,0.5282895485,0.5812235911,1.401727356,4.165450616,0.01181147396,66.71939312,17.01706633,10.88475678,2.362022684,0.3112364071,1.227424172,0.2216063329,0.2793088237,0.3031320122,0.265357,0.2734330065,0.007197789283,0.007919,0.01909812179,0.05675303606,0.000160927849,0.9090320529,0.2318525097,0.1483016008,0.03218186241,0.004240504249,0.01672329232
RP,0,vL,L,10066,571871,Ian,Krol,0,0.4822374323,112.5288875,1.366002386,0.8966301753,1.560011811,8.301839188,0.1013287071,100.4044039,31.85054812,16.29043571,3.628839941,0.4640301155,1.819090904,0.2211297095,0.2884438241,0.3027504518,0.270074,0.2954213712,0.01213912638,0.007968,0.01386321189,0.07377518231,0.0009004683991,0.8922544794,0.2830433041,0.1447667001,0.03224807446,0.004123653277,0.01616554597
RP,0,vL,L,2141,429780,Chris,Narveson,0,0.4044839784,34.82427709,0.2537045156,0.4030213588,0.4634050419,2.318276423,0,31.38586975,7.040645139,5.206161741,1.436199583,0.1558103528,0.9781125532,0.2477638597,0.3054032637,0.3657801971,0.303905,0.282976088,0.007285277306,0.011573,0.01330695367,0.0665706977,0,0.9012640713,0.2021763473,0.1494980564,0.04124133228,0.004474187717,0.02808708852
RP,0,vL,L,3240,502154,Zach,Britton,0,0.3371106028,89.32812548,0.6698329439,0.4087655022,1.180513296,5.003195988,0,82.06581775,28.5451573,13.37999646,1.914206577,0.2300218941,0.8020077506,0.1989407177,0.2538955051,0.2474172452,0.230214,0.2885691109,0.007498567111,0.004576,0.0132154715,0.0560091904,0,0.918700771,0.3195539719,0.1497848118,0.0214289348,0.002575022065,0.008978222103
RP,0,vL,R,3281,501925,Joe,Smith,0,0.4250436156,82.16049271,0.4923942102,0.6932702375,0.8149143401,7.842853463,1.302623638,72.31706046,14.53135703,12.91409543,4.472545903,0.5676131783,2.576142846,0.2838942461,0.3573998378,0.432684281,0.349427,0.3183647995,0.005993077621,0.008438,0.00991856686,0.09545772188,0.01585462301,0.8801926336,0.176865505,0.1571813289,0.05443669769,0.006908590243,0.03135500727
RP,0,vL,L,10855,592741,Chasen,Shreve,0,0.408376972,43.85491537,0.3189547346,0.4310499632,0.6192035663,3.781413064,0,38.70429405,11.18032954,6.362206883,1.544238693,0.1870495236,1.143434971,0.2386538832,0.3132478645,0.3473035249,0.302299,0.2983168348,0.007272952915,0.009829,0.01411936521,0.08622552413,0,0.8825531578,0.254939029,0.1450739747,0.03521244265,0.004265189477,0.0260731314
RP,0,vL,L,10976,594951,Ryan,O'Rourke,0,0.4384949199,28.44906487,0.2041961755,0.2918020584,0.3765109685,2.271599603,0.0066170434,25.30495607,7.743250872,3.920353199,0.9613567092,0.1354128488,0.6181773524,0.2226955105,0.2932713467,0.3202470378,0.280851,0.2876868749,0.007177605886,0.010257,0.01323456395,0.07984795329,0.0002325926504,0.8894828769,0.2721794515,0.1378025329,0.03379220771,0.004759834795,0.02172926791
RP,0,vL,L,11753,594986,Kyle,Ryan,0,0.4118692894,80.26902564,0.5829053949,0.7531642676,1.02308054,4.622754566,0,73.28712087,14.88365094,13.83913029,3.07104121,0.5274494374,1.7597421,0.2619472946,0.3117631787,0.3662688205,0.304575,0.300753395,0.00726189698,0.009383,0.01274564544,0.05759076466,0,0.9130186929,0.1854220955,0.172409347,0.03825935577,0.006571020804,0.02192305296
RP,0,vL,L,12027,543169,Brian,Flynn,0,0.4128101589,35.29800418,0.2562253316,0.312281443,0.4779900752,2.554943275,0,31.69656406,8.115346687,5.324211047,1.187014074,0.1753968518,0.6647188203,0.2319286336,0.2963398116,0.3223878207,0.281767,0.2847187761,0.007258918386,0.008847,0.01354156095,0.07238208884,0,0.8979704318,0.2299095055,0.1508360365,0.03362836233,0.004969030285,0.0188316262
RP,0,vL,L,11240,502087,Kevin,Chapman,0,0.5442867829,82.79025381,0.9887384443,0.7302100386,1.169172221,7.390762365,0.1540763418,72.51137074,21.7786119,11.78687457,2.65771596,0.3385272656,1.460173373,0.2240102622,0.3032123017,0.3102742119,0.281291,0.2899131807,0.01194269131,0.00882,0.01412209973,0.08927092291,0.001861044443,0.8758442861,0.2630576777,0.1423703157,0.03210179746,0.00408897485,0.01763702014
RP,0,vL,L,10591,518397,Scott,Alexander,0,0.4334853363,103.4795725,0.7443766997,0.9094819623,1.477164021,6.707951031,0.01738937507,93.64059874,19.95456456,16.84183489,3.360332722,0.4978830492,1.690640115,0.2391130671,0.2976176334,0.3217415334,0.280737,0.2810626027,0.007193465164,0.008789,0.01427493356,0.06482391521,0.0001680464527,0.9049186861,0.1928357847,0.162755165,0.03247339201,0.00481141386,0.01633791168
RP,0,vL,L,1581,448281,Sean,Doolittle,0,0.3911826736,104.3796132,0.7648297599,1.280633475,1.340482999,5.307839819,0,95.68582718,31.51309407,13.30968503,4.134780027,0.5727212629,2.60865779,0.2155579851,0.2632265977,0.325266376,0.266473,0.2832466126,0.007327386414,0.012269,0.01284238327,0.05085130759,0,0.9167099227,0.3019085154,0.1275123046,0.03961290811,0.005486907311,0.02499202391
RP,0,vL,L,10021,501985,Mike,Minor,0,0.4710335864,49.54076424,0.3504808616,0.6048927314,0.6040203018,2.684607459,0.0361498857,45.29676289,11.90695914,7.369285189,2.106918056,0.3136699129,1.333956216,0.2455766961,0.2929939847,0.3648384263,0.295655,0.2965619817,0.007074595375,0.01221,0.01219238966,0.05418986768,0.0007296997987,0.9143331473,0.2403466987,0.1487519481,0.04252897767,0.006331551757,0.02692643597
RP,0,vL,L,10233,547973,Aroldis,Chapman,0,0.3130822788,81.43396607,0.6168326253,0.6377093883,1.295408772,7.032713852,0,71.85130143,36.99454901,7.479595125,1.931687458,0.2354671305,1.219514656,0.1512326729,0.2375039323,0.2186169922,0.21761,0.2764762868,0.007574635684,0.007831,0.01590747491,0.08636093993,0,0.8823259495,0.4542889263,0.091848592,0.02372090605,0.00289151004,0.01497550365
RP,0,vL,R,13442,573046,Mike,Morin,0,0.4264192877,98.54227237,0.5904316528,1.092833801,0.7749525964,8.742948585,1.561020504,87.34110574,19.87680155,14.37852394,4.07780595,0.5030594511,2.680446215,0.2477623265,0.3180924065,0.3673488281,0.305017,0.2852446196,0.005991658591,0.01109,0.007864164056,0.08872282295,0.0158411255,0.8863313544,0.2017083741,0.1459122425,0.04138128594,0.005105011677,0.02720097832
RP,0,vL,R,2873,433586,Santiago,Casilla,0,0.3795541983,90.2138328,0.5448916182,0.8610008202,0.7786913601,9.107902783,1.49582531,78.92134622,20.54577635,13.1162628,4.161984316,0.5524037567,2.462623941,0.2571329023,0.3365699266,0.386274639,0.321363,0.3110783711,0.006040000755,0.009544,0.008631618189,0.1009590492,0.01658088636,0.8748253319,0.2277452993,0.1453908163,0.04613465793,0.006123271117,0.02729763124
