b1,b2,b3,b4,b5,b6,b7,b8,b9,batters_home,key,pitching,runs_scored
118.73,101.26,122.2,99.89,101.53,97.52,96.32,100.48,-20.0,0,2016/04/03/slnmlb-pitmlb-1,581.148,1
109.54,142.64,99.96,114.84,97.16,101.3,98.56,83.13,-20.0,1,2016/04/03/slnmlb-pitmlb-1,603.72,4
98.02,129.4,135.69,133.89,108.82,107.67,102.24,104.55,71.87,0,2016/04/03/tormlb-tbamlb-1,578.673,5
106.23,104.28,115.78,110.01,102.84,103.53,110.36,98.18,85.86,1,2016/04/03/tormlb-tbamlb-1,601.245,3
109.69,109.87,108.64,115.9,111.04,111.55,94.37,111.15,85.68,0,2016/04/03/nynmlb-kcamlb-1,645.2010000000001,3
74.34,107.67,104.08,116.68,111.4,114.63,98.4,71.82,89.73,1,2016/04/03/nynmlb-kcamlb-1,567.981,4
99.92,100.31,138.19,114.66,121.64,102.11,91.72,-20.0,84.83,0,2016/04/04/sfnmlb-milmlb-1,639.558,12
105.92,80.61,118.21,106.21,104.5,85.75,86.61,-20.0,76.16,1,2016/04/04/sfnmlb-milmlb-1,568.08,3
95.51,105.17,127.14,97.5,90.28,116.29,90.31,78.34,88.38,0,2016/04/04/minmlb-balmlb-1,652.824,2
123.61,106.9,116.52,106.39,92.67,113.16,74.89,91.03,89.06,1,2016/04/04/minmlb-balmlb-1,642.1320000000001,3
97.71,89.27,118.47,121.72,116.78,96.08,114.45,95.37,81.68,0,2016/04/04/seamlb-texmlb-1,608.3729999999999,2
88.47,112.74,115.29,123.01,97.4,88.76,103.36,85.67,86.4,1,2016/04/04/seamlb-texmlb-1,575.505,3
84.0,87.54,108.86,88.15,83.59,92.38,79.38,78.98,-20.0,0,2016/04/04/phimlb-cinmlb-1,589.068,2
77.97,94.12,143.72,86.38,96.56,97.46,97.31,-20.0,79.79,1,2016/04/04/phimlb-cinmlb-1,627.183,6
86.42,110.42,157.81,104.25,105.79,106.29,82.97,74.97,-20.0,0,2016/04/04/wasmlb-atlmlb-1,621.342,4
89.85,86.42,134.2,90.77,95.48,95.36,84.31,80.16,-20.0,1,2016/04/04/wasmlb-atlmlb-1,543.9240000000001,3
87.85,102.62,113.21,117.03,137.87,94.34,109.17,90.13,-20.0,0,2016/04/04/lanmlb-sdnmlb-1,585.4050000000001,15
93.25,100.78,119.71,117.41,78.52,97.29,81.5,88.2,-20.0,1,2016/04/04/lanmlb-sdnmlb-1,519.9659999999999,0
